1989-04-21 スーパーマリオランド(任天堂, 512K) 2,600円
1989-04-21 ベースボール(任天堂, 512K) 2,600円
1989-04-21 役満(任天堂, 256K) 2,600円
1989-04-21 アレイウェイ(任天堂, 256K) 2,600円
1989-05-29 テニス(任天堂, 256K) 2,600円
1989-06-14 テトリス(任天堂, 256K) 2,600円
1989-07-28 上海(HAL研究所, 256K) 2,980円
1989-09-01 倉庫番(ポニーキャニオン, 256K) 3,090円
1989-09-05 ミッキーマウス(KEMCO, 512K) 2,980円
1989-09-20 モトクロスマニアックス(コナミ, 256K) 2,900円
1989-09-21 ハイパーロードランナー(バンダイ, 256K) 2,800円
1989-10-18 ピンボール66匹のワニ大行進(HAL研究所, 512K) 2,980円
1989-10-27 ドラキュラ伝説(コナミ, 512K) 3,300円
1989-10-31 シーサイドバレー(トンキンハウス, 512K) 2,980円
1989-11-24 パズルボーイ(アトラス, 256K) 2,980円
1989-11-28 ゴルフ(任天堂, 1M) 2,600円
1989-12-08 パチンコタイム(ココナッツジャパン, 512K) 3,280円
1989-12-15 魔界塔士Sa・Ga(スクウェア, 1M) 3,500円
1989-12-19 将棋(ポニーキャニオン, 1M) 3,400円
1989-12-22 海戦ゲーム NAVY BLUE(ユース, 512K) 3,400円
1989-12-22 キュービリオン(セタ, 256K) 2,980円
1989-12-22 北斗の拳 凄絶十番勝負(東映動画, 1M) 3,500円
1989-12-27 てけてけ!アスミッくんワールド(アスミック, 512K) 3090円
1989-12-28 セレクション 選ばれし者(KEMCO, 1M) 3090円
1989-12-28 マスターカラテカ(新正工業, 256K) 2900円
1990-01-12 ヒーロー集合!! ピンボールパーティ(ジャレコ, 512K) 2980円
1990-01-13 ワールドボウリング(アテナ, 256K) 3090円
1990-01-14 平安京エイリアン(メルダック, 256K) 3000円
1990-01-26 ソーラーストライカー(任天堂, 512K) 2600円
1990-02-09 オセロ(河田, 256K) 2980円
1990-02-23 対局連珠(トーワチキ, 512K) 2980円
1990-02-23 ネメシス(コナミ, 1M) 3500円
1990-03-15 ベースボールキッズ(ジャレコ, 1M) 3300円
1990-03-16 クォース(コナミ, 512K) 3300円
1990-03-16 フリップル(タイトー, 256K) 3090円
1990-03-21 ペンギンランド(ポニーキャニオン, 256K) 3090円
1990-03-23 フラッピー・スペシャル(ビクター音楽産業, 256K) 3300円
1990-03-24 SDガンダム SD戦国伝 国盗り物語(バンダイ, 1M) 3500円
1990-03-29 トランプボーイ(パック・イン・ビデオ, 256K) 3090円
1990-03-30 スペースインベーダーズ(タイトー, 256K) 3090円
1990-03-30 ぺんぎんくんWARS vs.(アスキー, 512K) 3090円
1990-04-06 かこむん蛇(ナグザット, 256K) 3090円
1990-04-13 クイックス(任天堂, 512K) 2600円
1990-04-13 爆裂戦士ウォーリア(エポック社, 512K) 3090円
1990-04-13 バットマン(サンソフト, 512K) 3400円
1990-04-13 SDルパン三世 〜金庫破り大作戦〜(バンプレスト, 512K) 3300円
1990-04-20 スーパーチャイニーズランド(カルチャーブレーン, 512K) 3300円
1990-04-20 デッドヒート スクランブル(コピアシステム, 512K) 3300円
1990-04-20 ブロディア(トンキンハウス, 512K) 3000円
1990-04-20 冒険!パズルロード(ビック東海, 256K) 2980円
1990-04-20 ポパイ(シグマ商事, 1M) 3500円
1990-04-27 サッカーボーイ(EPIC・ソニー, 512K) 3000円
1990-04-27 天神怪戦(メルダック, 1M) 3500円
1990-04-28 スヌーピーのマジックショー(KEMCO, 512K) 2980円
1990-05-02 レッドアリーマー 魔界村外伝(カプコン, 1M) 3300円
1990-05-11 ロックンチェイス(DECO, 512K) 3300円
1990-05-18 ボクシング(トンキンハウス, 512K) 3000円
1990-05-25 あやかしの城(セタ, 512K) 3500円
1990-05-26 ウルトラマン倶楽部 敵怪獣ヲ発見セヨ!(バンダイ, 512K) 3300円
1990-06-01 PITMAN(アスク講談社, 256K) 2980円
1990-06-08 コスモタンク(アトラス, 1M) 3500円
1990-06-15 カード・ゲーム(ココナッツジャパン, 512K) 3400円
1990-06-15 ZOIDS ゾイド伝説(トミー, 512K) 3090円
1990-06-15 ファニーフィールド(SNK, 512K) 3090円
1990-06-22 倉庫番2(ポニーキャニオン, 256K) 3090円
1990-06-27 無頼戦士デラックス(タイトー, 512K) 3400円
1990-06-29 バリーファイア(東映動画, 256K) 3200円
1990-07-03 パイプドリーム(BPS, 256K) 3090円
1990-07-13 四川省(アイレム, 256K) 3090円
1990-07-20 ダブルドラゴン(テクノスジャパン, 1M) 3500円
1990-07-27 ドクターマリオ(任天堂, 256K) 2600円
1990-07-27 タスマニア物語(ポニーキャニオン, 256K) 3090円
1990-07-28 らんま1/2 かくれんぼデスマッチ(バンプレスト, 512K) 3300円
1990-07-31 パズニック(タイトー, 512K) 3400円
1990-08-02 石道(アスキー, 256K) 3090円
1990-08-03 ティーンエイジ・ミュータント・ニンジャ・タートルズ(コナミ, 1M) 3500円
1990-08-04 魁!!男塾 冥鳳島決戦(ユタカ, 1M) 3500円
1990-08-08 おさわがせ! ペンギンBOY(ナツメ, 512K) 3090円
1990-08-10 VSバトラー(ユース, 512K) 3400円
1990-08-11 香港(徳間書店, 256K) 2900円
1990-08-12 ドラゴンスレイヤーI(エポック社, 256K) 3090円
1990-08-24 パワーミッション(バップ, 1M) 3500円
1990-08-25 機動警察パトレイバー 狙われた街1990(ユタカ, 1M) 3500円
1990-08-31 バトルピンポン(クエスト, 512K) 3300円
1990-08-31 ボンバーボーイ(ハドソン, 1M) 3500円
1990-09-14 ファミスタ(ナムコ, 1M) 3500円
1990-09-14 プロレス(ヒューマン, 1M) 3500円
1990-09-21 サイドポケット(DECO, 512K) 3300円
1990-09-21 ダックテールス(カプコン, 512K) 3300円
1990-09-21 バルダーダッシュ(ビクター音楽産業, 512K) 3400円
1990-09-21 ルナランダー(パック・イン・ビデオ, 1M) 3500円
1990-09-28 F1ボーイ(アスク講談社, 512K) 3300円
1990-09-28 おいらじゃじゃ丸!世界大冒険(ジャレコ, 1M) 3400円
1990-10-05 うおーズ(トーワチキ, 512K) 3090円
1990-10-06 SDガンダム外伝 ラクロアンヒーローズ(バンダイ, 1M) 3800円
1990-10-10 信長の野望 ゲームボーイ版(光栄, 1M) 5800円
1990-10-12 アストロラビー(IGS, 512K) 3300円
1990-10-12 ツインビーだ!(コナミ, 1M) 3500円
1990-10-12 パラメデス(ホット・ビィ, 256K) 3300円
1990-10-16 ゴーストバスターズ2(HAL研究所, 1M) 3400円
